sRGBA,r,g,b,a,Y
0,64,64,64,0,n/a
1,64,64,64,0,n/a
2,64,64,64,0,n/a
3,64,64,64,0,n/a
4,64,64,64,0,n/a
5,64,64,64,0,n/a
6,64,64,64,0,n/a
7,64,64,64,0,n/a
8,64,64,64,0,n/a
9,64,64,64,0,n/a
10,64,64,64,0,n/a
11,64,64,64,0,n/a
12,64,64,64,0,n/a
13,64,64,64,0,n/a
14,64,64,64,0,n/a
15,109,109,109,255,0.152926
16,109,109,109,255,0.152926
17,109,109,109,255,0.152926
18,109,109,109,255,0.152926
19,109,109,109,255,0.152926
20,109,109,109,255,0.152926
21,109,109,109,255,0.152926
22,109,109,109,255,0.152926
23,109,109,109,255,0.152926
24,109,109,109,255,0.152926
25,109,109,109,255,0.152926
26,109,109,109,255,0.152926
27,109,109,109,255,0.152926
28,109,109,109,255,0.152926
29,109,109,109,255,0.152926
30,64,64,64,0,n/a
31,64,64,64,0,n/a
32,64,64,64,0,n/a
33,64,64,64,0,n/a
