sRGBA,r,g,b,a,Y
0,136,136,136,0,n/a
1,136,136,136,0,n/a
2,136,136,136,0,n/a
3,136,136,136,0,n/a
4,136,136,136,0,n/a
5,136,136,136,0,n/a
6,136,136,136,0,n/a
7,136,136,136,0,n/a
8,136,136,136,0,n/a
9,136,136,136,0,n/a
10,136,136,136,0,n/a
11,136,136,136,0,n/a
12,136,136,136,0,n/a
13,136,136,136,0,n/a
14,136,136,136,0,n/a
15,159,159,159,255,0.346704
16,159,159,159,255,0.346704
17,159,159,159,255,0.346704
18,159,159,159,255,0.346704
19,159,159,159,255,0.346704
20,159,159,159,255,0.346704
21,159,159,159,255,0.346704
22,159,159,159,255,0.346704
23,159,159,159,255,0.346704
24,159,159,159,255,0.346704
25,159,159,159,255,0.346704
26,159,159,159,255,0.346704
27,159,159,159,255,0.346704
28,159,159,159,255,0.346704
29,159,159,159,255,0.346704
30,136,136,136,0,n/a
31,136,136,136,0,n/a
32,136,136,136,0,n/a
33,136,136,136,0,n/a
