sRGBA,r,g,b,a,Y
0,222,222,222,0,n/a
1,222,222,222,0,n/a
2,222,222,222,0,n/a
3,222,222,222,0,n/a
4,222,222,222,0,n/a
5,222,222,222,0,n/a
6,222,222,222,0,n/a
7,222,222,222,0,n/a
8,222,222,222,0,n/a
9,222,222,222,0,n/a
10,222,222,222,0,n/a
11,222,222,222,0,n/a
12,222,222,222,0,n/a
13,222,222,222,0,n/a
14,222,222,222,0,n/a
15,235,235,235,255,0.83077
16,235,235,235,255,0.83077
17,235,235,235,255,0.83077
18,235,235,235,255,0.83077
19,235,235,235,255,0.83077
20,235,235,235,255,0.83077
21,235,235,235,255,0.83077
22,235,235,235,255,0.83077
23,235,235,235,255,0.83077
24,235,235,235,255,0.83077
25,235,235,235,255,0.83077
26,235,235,235,255,0.83077
27,235,235,235,255,0.83077
28,235,235,235,255,0.83077
29,235,235,235,255,0.83077
30,222,222,222,0,n/a
31,222,222,222,0,n/a
32,222,222,222,0,n/a
33,222,222,222,0,n/a
